Sl.no,School Code,School Name
342,11020100254,DENZONG PEMA CHOELING ACADEMY
343,11020111801,PIONEER ACADEMY SAKYONG
344,11020113301,VIDHYA SAGAR JUNIOR HIGH SCHOOL
345,11020303501,SNOWDROPS ACADEMY
346,11020300905,DAUGHTER OF THE CROSS CONVENT SCHOOL
347,11020300904,RAPHJORE ACADEMY
348,11020300202,WEST POINT ACADEMY
349,11020300102,NOBLE ENGLISH SCHOOL
350,11020300305,BLISS ACADEMY
351,11020300602,HILL BUDS ACADEMY
352,11020300304,SHERAB ODSAL RAIDELLING ACADEMY
353,11020300302,TRINITY SCHOOL SRIBADAM
354,11020300303,WISDOM ACADEMY SRIBADAM
355,11020212401,BAL JYOTI ACADEMY
356,11020212101,GREEN VALLEY ACADEMEY
357,11020200347,"GYAN JYOTI ACADEMY,BURIAKHOP"
358,11020214101,HILLS CROWN ENGLISH SCHOOL
359,11020214301,MAGNOLIA ENGLISH SCHOOL
360,11020212501,SIKKIM HIMALAYAN ACADEMY
361,11020200402,"DEW DROPS ACADEMY,CHAKUNG"
362,11020212201,DON BOSCO MALBASEY
363,11020200403,GRACE ACADEMY
364,11020205102,GYANUDAYA ACADEMY MEMDOGOAN
365,11020214201,"LITTLE ANGEL ACADEMY, PIPALAY"
366,11020213701,MT OLIVES ENGLISH SCHOOL
367,11020200803,BLOOM ACADEMY
368,11020200802,RAMAN HIDDEN VALLEY ACADEMY
369,11020200604,WISE TEMPLE ACADEMY
370,11020202702,ADONAI HOMES
371,11020214801,MOUNT SINAI ACADEMY
372,11020201102,SAINT GYANDIL ACADEMY
373,11020202002,VIDYA BHARATI NAYABAZAR
374,11020201403,"MODEL ENGLISH HOUSE,RESHI"
375,11020201402,SIKKIM HOMES ACADEMY
376,11020200702,SPRINGDALE ACADEMY
377,11020201404,SUNSHINE ACADEMY
378,11020201303,ST.MARRY ACADEMY
379,11020214002,DIVYA JYOTI ACADEMY
380,11020214001,GYANODAYA NURSERY SCHOOL
381,11020212302,HIMALAYAN ACADEMY SORENG
382,11020213001,LELIUM ACADEMY SCHOOL
383,11020212202,MARIGOLD ACADEMY MALBASEY
384,11020200603,MOUNT K2 ACADEMY
385,11020213002,RADIANT ACADEMY SCHOOL
386,11020200602,TENDER FEET ACADEMY
387,11020213801,KEN ENGLISH SCHOOL
388,11020212702,KUSH HANG MEMORIAL ENGLISH SCHOOL
389,11020212402,SARASWATI SISHU NIKETAN
